"store","address","city","state","zip","Long","Lat","crimes2015"
"Walmart","710 E Ben White Blvd","Austin","TX",78704,-97.754094,30.221048,330
"Walmart","5017 W Hwy 290","Austin","TX",78735,-97.823452,30.232307,99
"Walmart","1030 Norwood Park Blvd","Austin","TX",78753,-97.692513,30.338482,577
"Walmart","Southpark Meadows, 9300 S Interstate 35","Austin","TX",78748,-97.792074,30.161058,406
"Walmart","Svc Rd Sb, 12900 N Interstate Hwy 35","Austin","TX",78753,-97.671089,30.388987,185
"Walmart","2525 W Anderson Ln","Austin","TX",78757,-97.733298,30.355196,167
"Walmart","13201 Ranch Rd 620 N","Austin","TX",78717,-97.791632,30.468023,55
"Walmart","8201 N FM 620","Austin","TX",78726,-97.8452263,30.4164823,18
"Costco","10401 Research Blvd","Austin","TX",78759,-97.743585,30.3967472,31
"Costco","4301 W William Cannon Dr","South Austin","TX",78749,-97.8416446,30.219648,39
"Sam's Club","Southpark Meadows, J-34, 9900 S IH 35 Frontage Rd","Austin","TX",78748,-97.7968351,30.1560748,46
"Sam's Club","South Town Square, 4970 W Hwy 290","Austin","TX",78735,-97.8207358,30.236365,4
"Sam's Club","Gateway Shopping Centers, 9700 N Capital of Texas Hwy","Austin","TX",78759,-97.742778,30.391767,9
"Sam's Club","10901 Lakeline Mall Dr","Austin","TX",78717,-97.794982,30.472862,1
"Big Lots","8666 Spicewood Springs Rd","Austin","TX",78759,-97.7716568,30.4329963,4
"Big Lots","8740 Research Blvd","Austin","TX",78757,-97.7216924,30.3647411,1
"Big Lots","7101 W SH 71","Austin","TX",78735,-97.8796896,30.2346999,5
"Big Lots","Parmer Crossing, 2506 W Parmer Ln","Austin","TX",78727,-97.7032259,30.4204453,3
"Target","2300 W Ben White Blvd","Austin","TX",78704,-97.7937676,30.2334435,116
"Target","8601 Research Blvd","Austin","TX",78758,-97.7176078,30.3627666,41
"Target","Capital Plaza Shopping Center, 5621 N I H 35","Austin","TX",78723,-97.7085014,30.3146364,114
"Target","10107 Research Blvd","Austin","TX",78759,-97.746154,30.3927847,53
"Target","5300 S MoPac Expy","Austin","TX",78749,-97.8300194,30.2337365,66
"Target","10900 Lakeline Mall Dr","Austin","TX",78717,-97.7986616,30.4763797,28
"Target","12901 N IF 35 NB","Austin","TX",78753,-97.669946,30.415144,92
"Target","Southpark Meadows, 9500 S IH 35 Frontage Rd","Austin","TX",78748,-97.792024,30.161056,175
"Target","11220 FM 2222","Austin","TX",78730,-97.929487,30.174665,10
