"store","address","KDEraw"
"Walmart","710 E Ben White Blvd",2.72984773301976e-09
"Walmart","5017 W Hwy 290",8.8758868350155e-10
"Walmart","1030 Norwood Park Blvd",3.77416601193279e-09
"Walmart","Southpark Meadows, 9300 S Interstate 35",1.01308018466533e-09
"Walmart","Svc Rd Sb, 12900 N Interstate Hwy 35",1.87063275345398e-09
"Walmart","2525 W Anderson Ln",1.78448919650755e-09
"Walmart","13201 Ranch Rd 620 N",1.47294158777127e-09
"Walmart","8201 N FM 620",3.27249766142343e-10
"Costco","10401 Research Blvd",1.51096005820341e-09
"Costco","4301 W William Cannon Dr",9.78881290107368e-10
"Sam's Club","Southpark Meadows, J-34, 9900 S IH 35 Frontage Rd",9.70831702628424e-10
"Sam's Club","South Town Square, 4970 W Hwy 290",8.90317849084449e-10
"Sam's Club","Gateway Shopping Centers, 9700 N Capital of Texas Hwy",1.53921008406945e-09
"Sam's Club","10901 Lakeline Mall Dr",1.55666793292961e-09
"Big Lots","8666 Spicewood Springs Rd",7.43543077340362e-10
"Big Lots","8740 Research Blvd",3.0862423519183e-09
"Big Lots","7101 W SH 71",3.426498666642e-10
"Big Lots","Parmer Crossing, 2506 W Parmer Ln",9.01336404769844e-10
"Target","2300 W Ben White Blvd",2.50237672354687e-09
"Target","8601 Research Blvd",3.62772605286312e-09
"Target","Capital Plaza Shopping Center, 5621 N I H 35",3.58872457516428e-09
"Target","10107 Research Blvd",1.45267831701259e-09
"Target","5300 S MoPac Expy",8.33223809834391e-10
"Target","10900 Lakeline Mall Dr",1.5976149169823e-09
"Target","12901 N IF 35 NB",1.71968561502965e-09
"Target","Southpark Meadows, 9500 S IH 35 Frontage Rd",1.01234952048883e-09
"Target","11220 FM 2222",4.07750036416387e-13
