"store","address","KDEraw","KDEscaled"
"Walmart","710 E Ben White Blvd",4.60604596116712e-09,0.000174942231651089
"Walmart","5017 W Hwy 290",9.59978001373567e-10,3.64609244701694e-05
"Walmart","1030 Norwood Park Blvd",5.42032218070885e-09,0.000205869256745503
"Walmart","Southpark Meadows, 9300 S Interstate 35",2.93942389967958e-09,0.00011164225913373
"Walmart","Svc Rd Sb, 12900 N Interstate Hwy 35",1.7076591601283e-09,6.48586025608331e-05
"Walmart","2525 W Anderson Ln",2.28649951777904e-09,8.68435381847659e-05
"Walmart","13201 Ranch Rd 620 N",6.90134583365668e-10,2.62120016108114e-05
"Walmart","8201 N FM 620",2.19907431603352e-10,8.3523041597269e-06
"Costco","10401 Research Blvd",1.51589507128344e-09,5.75752107024165e-05
"Costco","4301 W William Cannon Dr",9.54408554851181e-10,3.62493913218027e-05
"Sam's Club","Southpark Meadows, J-34, 9900 S IH 35 Frontage Rd",2.55572351961518e-09,9.70689349985042e-05
"Sam's Club","South Town Square, 4970 W Hwy 290",9.6027594555284e-10,3.64722406880424e-05
"Sam's Club","Gateway Shopping Centers, 9700 N Capital of Texas Hwy",1.66941101219189e-09,6.34058996540602e-05
"Sam's Club","10901 Lakeline Mall Dr",8.77633822497118e-10,3.3333410212263e-05
"Big Lots","8666 Spicewood Springs Rd",4.12157623927691e-10,1.56541587143976e-05
"Big Lots","8740 Research Blvd",2.76530102509284e-09,0.000105028898234051
"Big Lots","7101 W SH 71",3.9626061844323e-10,1.50503745490923e-05
"Big Lots","Parmer Crossing, 2506 W Parmer Ln",1.39468619679281e-09,5.29715764403877e-05
"Target","2300 W Ben White Blvd",2.26843750184969e-09,8.61575247577529e-05
"Target","8601 Research Blvd",3.092745505243e-09,0.000117465567034634
"Target","Capital Plaza Shopping Center, 5621 N I H 35",4.26843155135201e-09,0.000162119298751901
"Target","10107 Research Blvd",1.4397964395375e-09,5.46849085700736e-05
"Target","5300 S MoPac Expy",9.35509109644953e-10,3.5531571493425e-05
"Target","10900 Lakeline Mall Dr",9.42597022504051e-10,3.58007775117264e-05
"Target","12901 N IF 35 NB",1.75881568823728e-09,6.68015786549403e-05
"Target","Southpark Meadows, 9500 S IH 35 Frontage Rd",2.94079307611417e-09,0.000111694261823892
"Target","11220 FM 2222",1.07267396312733e-10,4.0741229793539e-06
