"address","closest_stops_in_meters"
"710 E Ben White Blvd",258.185101165923
"5017 W Hwy 290",230.424956795089
"1030 Norwood Park Blvd",152.688030864724
"Southpark Meadows, 9300 S Interstate 35",266.481447579401
"Svc Rd Sb, 12900 N Interstate Hwy 35",976.813390438131
"2525 W Anderson Ln",111.755172673044
"13201 Ranch Rd 620 N",249.366701405839
"8201 N FM 620",1290.32972240122
"10401 Research Blvd",342.126521798727
"4301 W William Cannon Dr",220.448846577001
"Southpark Meadows, J-34, 9900 S IH 35 Frontage Rd",379.017444777745
"South Town Square, 4970 W Hwy 290",338.892801878794
"Gateway Shopping Centers, 9700 N Capital of Texas Hwy",190.927307413203
"10901 Lakeline Mall Dr",227.23778646311
"8666 Spicewood Springs Rd",324.558015304442
"8740 Research Blvd",329.546000082766
"7101 W SH 71",269.093704337172
"Parmer Crossing, 2506 W Parmer Ln",245.870826035677
"2300 W Ben White Blvd",286.430974038419
"8601 Research Blvd",85.1299399555484
"Capital Plaza Shopping Center, 5621 N I H 35",245.210471400018
"10107 Research Blvd",243.176463426937
"5300 S MoPac Expy",160.407270759261
"10900 Lakeline Mall Dr",325.387689074937
"12901 N IF 35 NB",366.158800348847
"Southpark Meadows, 9500 S IH 35 Frontage Rd",263.559468953229
"11220 FM 2222",3596.75209772994
